zip_code,Population Density (Per Sq. Mile),incomeBelowPovertyLevelProportion,incomePerCapita,incomeGiniIndex,underPoverty,popDensity,whiteMajority,eduHsOrLessProportion,eduHsProportion,eduBachOrBetterProportion,eduEnrollmentProportion,eduDropoutProportion,employedProportion,employedPvtSecProportion,employedPubSecProportion,employedSelfEmpProportion,employedPvtNonProProportion,employedUnpaidFamProportion,insuredProportion,housingRentMoreThan30pcProportion,longitude,latitude
17810,102.9649,0.18806606286627597,12654.0,0.3628,0,102.9649,0.5593017285640938,0.1350806451612903,0.7784274193548387,0.08649193548387096,0.12067156348373557,0.0759493670886076,0.95635305528613,0.6734279918864098,0.1206896551724138,0.10040567951318459,0.10547667342799188,0.0,0.7948073701842546,0.176,,
17812,59.457,0.07473982970671712,19860.0,0.3701,0,59.457,0.9827197595792637,0.12596685082872927,0.7922651933701658,0.08176795580110498,0.20917573872472783,0.0,0.948220064724919,0.7150170648464164,0.13310580204778158,0.11604095563139932,0.03583617747440273,0.0,0.9248685199098422,0.35,,
17813,61.02223,0.11064842355740631,23935.0,0.3812,0,61.02223,0.9804015296367112,0.1477900552486188,0.7272099447513812,0.125,0.21569595261599211,0.11267605633802817,0.9324932493249325,0.7625482625482626,0.10135135135135136,0.07239382239382239,0.060810810810810814,0.0028957528957528956,0.9397705544933078,0.22807017543859648,,
17814,35.43036,0.1398548911683763,24419.0,0.4005,0,35.43036,0.9322831423895254,0.09827938174394868,0.7232429279673375,0.1784776902887139,0.22909243345210648,0.10115606936416185,0.9586397058823529,0.660594439117929,0.12703739213806328,0.1112176414189837,0.10115052732502397,0.0,0.9406448962826043,0.4094955489614243,,
17815,225.8872,0.19944274671939602,24670.0,0.5039,0,225.8872,0.9385487602228666,0.08854108440469537,0.6422582448295137,0.26920067076579096,0.3687591532419119,0.014925373134328358,0.9548205489092189,0.6547759433962265,0.13332841981132076,0.07001768867924528,0.1409198113207547,0.0009581367924528302,0.9553931618279214,0.4254092690800092,,
17820,59.81796,0.09609678155672222,28837.0,0.4247,0,59.81796,0.9805879090404881,0.07967032967032966,0.6868131868131868,0.23351648351648352,0.2109256449165402,0.0752212389380531,0.9717514124293786,0.6267441860465116,0.13488372093023257,0.087984496124031,0.14844961240310078,0.001937984496124031,0.9554281486961347,0.31837606837606836,,
17821,136.8509,0.08939130434782609,32889.0,0.46,0,136.8509,0.9383344276646969,0.08849557522123894,0.5872956352182391,0.32420878956052196,0.20600373113234213,0.0982367758186398,0.955826859045505,0.5801207617278217,0.09010682768230376,0.06897352531351603,0.2604505341384115,0.00034835113794705065,0.9414764036031953,0.3452551263710062,,
17823,35.18187,0.10455486542443064,23070.0,0.3635,0,35.18187,0.9875827814569537,0.11940298507462686,0.7290470723306545,0.1515499425947187,0.1903143585386576,0.23076923076923078,0.9605911330049262,0.6837606837606838,0.12307692307692308,0.11965811965811966,0.0735042735042735,0.0,0.890728476821192,0.2608695652173913,,
17824,144.3498,0.05058605798889575,31036.0,0.3896,0,144.3498,0.9630115424973767,0.06923601637107776,0.6862210095497954,0.24454297407912687,0.18724886150549155,0.0,0.98544474393531,0.6077680525164114,0.18216630196936542,0.07275711159737418,0.12582056892778992,0.011487964989059081,0.9707355655154232,0.5658914728682171,,
17827,401.824,0.03982300884955752,28297.0,0.3644,0,401.824,0.9870298313878081,0.06486486486486487,0.745945945945946,0.1891891891891892,0.1610738255033557,0.0,0.9269911504424779,0.7494033412887828,0.1360381861575179,0.0405727923627685,0.07398568019093078,0.0,0.9584954604409858,0.22388059701492538,,
